epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21256,2.15452,5.08694,3.43403,1.7172,0,0.02167,0.23214,0.00569,0.00318,0.025,0.26786,0.00874,0.00374,1.19027,2.1041,3.4802,1.41928,0,2e-05,2e-05,2e-05
2,3.88374,1.85463,4.0763,3.32859,1.58926,0,0.05833,0.625,0.04351,0.02278,0.05833,0.625,0.04519,0.0216,0.80029,1.49301,3.33045,1.17481,0,5.8515e-05,5.8515e-05,5.8515e-05
3,5.68001,1.50689,2.82152,3.47712,1.38814,0,0.08167,0.875,0.10412,0.07562,0.08,0.85714,0.10193,0.06419,0.63108,1.26497,3.12729,0.97792,0,9.505e-05,9.505e-05,9.505e-05
4,7.50592,1.41168,2.18273,3.43696,1.25957,0,0.08333,0.89286,0.16964,0.14529,0.08333,0.89286,0.16964,0.12318,0.52547,1.32003,3.01022,0.86745,0,0.000129605,0.000129605,0.000129605
5,9.36987,1.10062,1.66808,3.32815,1.1442,0,0.08667,0.92857,0.18692,0.15548,0.08667,0.92857,0.18692,0.13584,0.61768,1.32911,2.95174,0.83871,0,0.00016218,0.00016218,0.00016218
6,11.0248,0.7391,1.26761,3.11421,1.03186,0,0.08667,0.92857,0.18692,0.15548,0.08667,0.92857,0.18692,0.13584,0.61768,1.32911,2.95174,0.83871,0,0.000192775,0.000192775,0.000192775
7,12.8464,0.85379,1.27929,2.9325,1.021,0,0.08833,0.94643,0.19426,0.1616,0.08833,0.94643,0.19426,0.14576,0.60959,1.27896,2.88525,0.81076,0,0.00022139,0.00022139,0.00022139
8,14.6219,0.68051,1.44614,2.84642,0.99054,0,0.08833,0.94643,0.20527,0.1875,0.08833,0.94643,0.20527,0.16444,0.42225,1.06499,2.83526,0.78354,0,0.000248025,0.000248025,0.000248025
9,16.2976,0.65739,0.97361,2.77853,0.90457,0,0.08833,0.94643,0.20527,0.1875,0.08833,0.94643,0.20527,0.16444,0.42225,1.06499,2.83526,0.78354,0,0.00027268,0.00027268,0.00027268
10,17.9809,0.73847,1.14101,2.53242,0.9387,0,0.08833,0.94643,0.20782,0.19206,0.08833,0.94643,0.20782,0.16632,0.3877,1.20252,2.7827,0.77506,0,0.000295355,0.000295355,0.000295355
11,19.714,0.62255,0.96165,2.30728,0.91899,0,0.08833,0.94643,0.20782,0.19206,0.08833,0.94643,0.20782,0.16632,0.3877,1.20252,2.7827,0.77506,0,0.00031605,0.00031605,0.00031605
12,21.3414,0.64596,0.94824,2.21313,0.89293,0,0.08833,0.94643,0.19735,0.16769,0.08833,0.94643,0.20006,0.15105,0.51194,1.22014,2.70201,0.78564,0,0.000334765,0.000334765,0.000334765
13,22.9962,0.83537,1.1643,2.17761,0.90553,0,0.08833,0.94643,0.19735,0.16769,0.08833,0.94643,0.20006,0.15105,0.51194,1.22014,2.70201,0.78564,0,0.0003515,0.0003515,0.0003515
14,25.1641,0.60044,0.68451,1.9302,0.88608,0,0.08833,0.94643,0.19735,0.16769,0.08833,0.94643,0.20006,0.15105,0.51194,1.22014,2.70201,0.78564,0,0.000366255,0.000366255,0.000366255
15,26.8722,0.60744,0.98598,2.14422,0.88979,0,0.08833,0.94643,0.34225,0.23501,0.08833,0.94643,0.36747,0.24852,0.68019,0.9804,2.56927,0.80589,0,0.00037903,0.00037903,0.00037903
16,28.429,0.56807,0.76594,1.62982,0.84202,0,0.08833,0.94643,0.34225,0.23501,0.08833,0.94643,0.36747,0.24852,0.68019,0.9804,2.56927,0.80589,0,0.000389825,0.000389825,0.000389825
17,30.0929,0.59761,0.54053,1.65584,0.86469,0,0.08833,0.94643,0.34225,0.23501,0.08833,0.94643,0.36747,0.24852,0.68019,0.9804,2.56927,0.80589,0,0.00039864,0.00039864,0.00039864
18,31.7924,0.57908,0.74296,1.78106,0.87505,0,0.08833,0.94643,0.87462,0.69864,0.08833,0.94643,0.87462,0.66933,0.77221,0.77245,2.35604,0.81339,0,0.000405475,0.000405475,0.000405475
19,33.3367,0.80501,0.70504,1.36633,0.90874,0,0.08833,0.94643,0.87462,0.69864,0.08833,0.94643,0.87462,0.66933,0.77221,0.77245,2.35604,0.81339,0,0.00041033,0.00041033,0.00041033
20,34.9593,0.69753,0.60151,1.37199,0.87128,0,0.08833,0.94643,0.87462,0.69864,0.08833,0.94643,0.87462,0.66933,0.77221,0.77245,2.35604,0.81339,0,0.000413205,0.000413205,0.000413205
21,36.6477,0.74947,0.80656,1.49484,0.90147,0,0.94015,0.94643,0.92848,0.80333,0.94015,0.94643,0.92848,0.77718,0.52433,0.70563,2.06758,0.78713,0,0.0004141,0.0004141,0.0004141
22,38.2844,0.65843,0.72173,1.42522,0.86636,0,0.94015,0.94643,0.92848,0.80333,0.94015,0.94643,0.92848,0.77718,0.52433,0.70563,2.06758,0.78713,0,0.000413015,0.000413015,0.000413015
23,39.8757,0.62619,0.52095,1.38439,0.90569,0,0.94015,0.94643,0.92848,0.80333,0.94015,0.94643,0.92848,0.77718,0.52433,0.70563,2.06758,0.78713,0,0.00040995,0.00040995,0.00040995
24,41.4495,0.5882,0.55747,1.30451,0.85883,0,0.94015,0.94643,0.92848,0.80333,0.94015,0.94643,0.92848,0.77718,0.52433,0.70563,2.06758,0.78713,0,0.000404905,0.000404905,0.000404905
25,43.0965,0.56839,0.73946,1.34944,0.88993,0,0.9806,0.90275,0.93148,0.81229,0.9806,0.90275,0.93148,0.76994,0.513,0.74065,1.77466,0.7931,0,0.00039788,0.00039788,0.00039788
26,44.7248,0.59754,0.49225,1.13695,0.88865,0,0.9806,0.90275,0.93148,0.81229,0.9806,0.90275,0.93148,0.76994,0.513,0.74065,1.77466,0.7931,0,0.000388875,0.000388875,0.000388875
27,46.2639,0.62732,0.51839,1.25657,0.85363,0,0.9806,0.90275,0.93148,0.81229,0.9806,0.90275,0.93148,0.76994,0.513,0.74065,1.77466,0.7931,0,0.00037789,0.00037789,0.00037789
28,48.0375,0.73479,0.59522,1.39121,0.901,0,0.9806,0.90275,0.93148,0.81229,0.9806,0.90275,0.93148,0.76994,0.513,0.74065,1.77466,0.7931,0,0.000364925,0.000364925,0.000364925
